experience/0/company,experience/1/company,experience/2/company,experience/3/company,experience/4/company,experience/0/date_range,experience/1/date_range,experience/2/date_range,experience/3/date_range,experience/4/date_range,experience/0/name,experience/1/name,experience/2/name,experience/3/name,experience/4/name,education/0,education/1,education/2,position
cooperation,app girls,self-employed,ampos,paradise soft ＆uitox,"Dates Employed
May 2019 – Present","Dates Employed
2016 – Present","Dates Employed
Jan 2015 – Present","Dates Employed
Aug 2018 – Present","Dates Employed
Sep 2017 – Aug 2018","machine,learning,engineer","funder,and,lecturer","start,to,learn,webapp,programing","senior,mobile,engineer","app,developer",national tsing hua university,national cheng kung university,none,"machine,learning,engineer,for,python,app,developer,for,swift,and,react,native,app,girls,founder,and,lecturer"
clean energy associates (cea) contract,bonny & read accessory,none,none,none,"Dates Employed
Nov 2019 – Present","Dates Employed
Mar 2016 – Mar 2017",,,,"machine,learning,researcher","data,analyst",none,none,none,clarkson university,national chung hsing university,none,"machine,learning,researcher,at,clean,energy,associates,cea"
taiwancement corporation (taiwan cement corporation),中央研究院,canon enterprise,none,none,"Dates Employed
Jun 2019 – Present","Dates Employed
Mar 2017 – Jun 2019","Dates Employed
Oct 2015 – Mar 2017",,,"machine,learning,engineer","research,assistant","software,and,firmware,rd,engineer",none,none,"tsinghua university, taiwan",國立中興大學,none,"research,engineer"
ecloudvalley digital technology,none,none,none,none,"Dates Employed
Apr 2019 – Present",,,,,"machine,learning,engineer",none,none,none,none,feng chia university,none,none,"ecloudvalley,digital,technology,machine,learning,engineer"
solomon ai and 3d vision,inqtech co.,fbtug (farmbot taiwan user group) freelance,corning incorporated (asia region),polytechnique montréal,"Dates Employed
May 2018 – Present","Dates Employed
Mar 2017 – May 2018","Dates Employed
Mar 2017 – May 2018","Dates Employed
Nov 2015 – Mar 2017","Dates Employed
Jun 2014 – Sep 2014","deep,learning,engineer","image,engineer",maker,"measurement,engineer","research,assistant",national taiwan university,national taiwan university,none,"deep,learning,engineer,at,solomon,ai,and,3d,vision"
"bawei intelligent co., ltd.",bitmain,saiwei technology,me,qubit.,"Dates Employed
Mar 2019 – Present","Dates Employed
Oct 2018 – Jan 2019","Dates Employed
Mar 2017 – Sep 2018","Dates Employed
Dec 2013 – Oct 2016","Dates Employed
Jun 2013 – Sep 2013","i,am,an,engineer","nlp,engineer","nlp,engineer","data,analyst,product,manager","master,thesis,project","university college london, u. of london",national taiwan university,national taiwan university,"deep,learning,engineer"
"gogolook co., ltd",onead,watch +,cheetah mobile,技嘉科技股份有限公司,"Dates Employed
May 2019 – Present","Dates Employed
Mar 2017 – Present","Dates Employed
Mar 2016 – Jan 2017","Dates Employed
Jul 2014 – Feb 2016","Dates Employed
Jul 2013 – Apr 2014","machine,learning,engineer,data,engineer","data,analyst","data,analyst","data,analyst","rmareturn,merchandise,authorization,quality,analyst",feng chia university,ming chuan university,none,"gogolook,co,ltd,machine,learning,engineer,data,engineer"
"takema intelligent technology (shanghai) co., ltd.",htc,ambarella,none,none,"Dates Employed
Feb 2016 – Present","Dates Employed
Jul 2013 – Feb 2016","Dates Employed
Jul 2011 – Jun 2013",,,"algorithm,engineer,team,lead","sr,engineer,machine,learning,engineer",engineer,none,none,national chiao tung university,national chiao tung university,none,"machine,learning,team,lead,at,takema,intelligent,technology,emotibot"
mariposa foundry,sigfig,world systems ag,parkside lending,federal home loan bank of san francisco,"Dates Employed
Dec 2017 – Present","Dates Employed
Jan 2016 – Jan 2018","Dates Employed
Jan 2014 – Dec 2014","Dates Employed
Oct 2010 – May 2012","Dates Employed
Jul 2008 – Oct 2010",consultant,"software,engineer",consultant,analyst,"derivatives,analyst",georgia institute of technology,"university of california, berkeley",national taiwan normal university,"machine,learning,engineer"
htc vive,"jeilin technology co., ltd.","openfind information technology, inc.",cyberon corp.,none,"Dates Employed
Sep 2013 – Apr 2018","Dates Employed
Jun 2012 – Sep 2013","Dates Employed
Jul 2008 – Dec 2008","Dates Employed
Sep 2007 – Jun 2008",,"senior,software,engineer","algorithm,developer","software,engineer","software,engineer",none,national taiwan university,national taiwan university,none,"senior,machine,learning,scientist,at,digital,domain"
"aeolus robotics, inc.",fitipower,none,none,none,"Dates Employed
Jan 2018 – Present","Dates Employed
Jan 2015 – Jan 2018",,,,"machine,learning,engineer","senior,engineer",none,none,none,national chiao tung university,national chiao tung university,none,"machine,learning,engineer,at,aeolus,robotics,inc"
asus,raynergy tek incorporation,none,none,none,"Dates Employed
Apr 2020 – Present","Dates Employed
Jan 2019 – Mar 2020",,,,"cloud,computing,product,manager",,none,none,none,national chiao tung university,國立交通大學,none,"cloud,computing,product,manager,at,asus"
otobrite electronics,none,none,none,none,"Dates Employed
Nov 2018 – Present",,,,,"ai,rd,engineer",none,none,none,none,national central university,長庚大學,none,"computer,vision,deep,learning,algorithm,developer"
taiwan ai labs,國立臺灣大學,mediatek,none,none,"Dates Employed
Jun 2019 – Present","Dates Employed
2016 – 2018","Dates Employed
Jun 2016 – Oct 2016",,,"machine,learning,research,engineer","student,researcher","research,intern",none,none,national taiwan university,國立臺灣大學,none,"taiwan,ailabs,machine,learning,research,engineer"
super wisdom technology,fx digital limited,none,none,none,"Dates Employed
Jul 2019 – Present","Dates Employed
Nov 2018 – Jan 2019",,,,"data,analyst","web,designing,associate,startup,3d,modelling,frontend,developer",none,none,none,king's college london,national taipei university,none,"data,scientist,ai,machine,learning,engineer"
none,none,none,none,none,,,,,,none,none,none,none,none,naval officer school,none,none,"lead,of,frontend,full,stack,machine,learning"
new era ai robotic inc.,tamkang university,none,none,none,"Dates Employed
Sep 2018 – Present","Dates Employed
Sep 2016 – Aug 2018",,,,"machine,learning,engineer","research,assistant",none,none,none,tamkang university,vel tech technical university,government polytechnic college,"machine,learning,engineer,at,new,era,ai,robotic,inc"
amazon web services (aws),pixnet digital media corporation,this corporation,ambarella,none,"Dates Employed
Aug 2019 – Present","Dates Employed
Feb 2016 – Aug 2019","Dates Employed
Jun 2014 – Feb 2016","Dates Employed
Aug 2009 – Jun 2014",,"data,scientist","research,team,algorithm,engineer","product,development,engineer","member,of,technical,staff",none,national cheng kung university,national sun yat-sen university,none,"data,infra,data,analysis,hadoop,machine,learning,nlp"
mediatek,national taipei university of technology,national chiao tung university,tsmc,none,"Dates Employed
Feb 2017 – Present","Dates Employed
2014 – 2016","Dates Employed
Sep 2006 – Jun 2013","Dates Employed
Jul 2005 – Aug 2005",,"senior,ai,machine,learning,and,computer,vision,engineer,computing,and,ai,technology,group","research,collaborator","graduate,research,assistant","intern,production,integration,engineer",none,national chiao tung university,national central university,none,"senior,ai,machine,learning,and,computer,vision,engineer,computing,and,artificial,intelligence,technology,group"
hp,ge ming digital media ltd,newegg,none,none,"Dates Employed
Jun 2020 – Present","Dates Employed
May 2019","Dates Employed
Jan 2016 – Apr 2019",,,"data,scientist","machine,learning,engineer","machine,learning,engineer",none,none,national cheng kung university,none,none,"hp,data,scientist"
national taiwan university,fx palo alto laboratory,thingnario,none,none,"Dates Employed
Feb 2017 – Sep 2019","Dates Employed
May 2019 – Aug 2019","Dates Employed
Dec 2018 – Apr 2019",,,"master,student","research,intern","data,scientist,intern",none,none,national taiwan university,national taiwan university,taipei municipal jiang uo highschool,"actively,seeking,full,time,opportunities,in,machine,learning,engineer,positions,cs,master,student,ntu"
"gigabyte technology co., ltd. gigabyte",ourland cosmetics r&d,eastern media international corporation (eastern group) eastern media international corporation (eastern group),soas university of london,"institute of international relations, nccu","Dates Employed
Oct 2018 – Present","Dates Employed
Apr 2018 – Jun 2018","Dates Employed
Aug 2016 – Mar 2017","Dates Employed
Sep 2011 – Jun 2016","Dates Employed
Sep 2009 – Aug 2010","sr,machine,learning,engineer","data,analyst","special,assistant,to,president","phd,candidate","research,assistant",soas university of london,national chengchi university,national taiwan normal university,"data,scientist,ml,engineer,at,gigabyte"
yahoo!,microsoft/placeware,bank of america,oracle corp,none,"Dates Employed
Sep 2003 – Oct 2006","Dates Employed
Jun 2000 – Sep 2003","Dates Employed
Jun 1998 – Jun 2000","Dates Employed
Mar 1996 – Jun 1998",,"senior,engineer,lead","senior,software,engineer","senior,consultant","senior,technical,staff",none,national taiwan university,stanford university,national chiao tung university,"department,manager,machine,learning,analysis,ai,application,integration,division"
dbs bank,line plus corp,"essences information co., ltd.",prudential life insurance of taiwan inc.,"welltake computer co.,ltd.","Dates Employed
Oct 2019 – Present","Dates Employed
Aug 2018 – Oct 2019","Dates Employed
May 2018 – Aug 2018","Dates Employed
Jun 2017 – Apr 2018","Dates Employed
Mar 2016 – Jun 2017","application,delivery,manager","data,engineer","software,engineer","senior,information,technology,specialist",engineer,national chiayi university,none,none,"machine,learning,engineer"
insilico taiwan (insilico intelligence),工業技術研究院,max planck institute for intelligent systems,university of tübingen,國立中央大學,"Dates Employed
May 2020 – Present","Dates Employed
Jun 2019 – May 2020","Dates Employed
May 2017 – Oct 2018","Dates Employed
Apr 2017 – Jul 2017","Dates Employed
Jan 2015 – Jul 2015","deep,learning,research,scientist","nlp,data,scientist","master,research,student","teaching,assistant,for,machine,learning,ii","research,assistant,of,cognitive,neurosience",university of tübingen,national tsing hua university,national chengchi university,"insilico,taiwan,deep,learning,researcher"
titansoft pte ltd,x-legend entertainment corp,trend micro,cich technology,"oss integral institute co, ltd.","Dates Employed
May 2018 – May 2020","Dates Employed
Oct 2012 – Mar 2018","Dates Employed
Oct 2011 – Sep 2012","Dates Employed
Sep 2010 – Sep 2011","Dates Employed
Sep 2009 – Aug 2010","senior,data,research,engineer","system,engineer","quality,assurance,engineer","software,engineer","software,engineer",chia nan university of pharmacy & science,none,none,"titansoft,pte,ltd,senior,data,scientist,machine,learning,engineer,data,analytics"
dell inc,delta,hp. inc,lenovo,none,"Dates Employed
Mar 2020 – Present","Dates Employed
Jul 2018 – Aug 2018","Dates Employed
Jul 2016 – Jul 2017","Dates Employed
Jul 2015 – Aug 2015",,"quality,engineer","smt,machine,learning,engineer,intern","tceq,cps,quality,analysis,intern",intern,none,national taiwan university,national chiao tung university,none,"data,analyst,business,analyst,machine,learning,c,r,python,excel,vba"
applied materials,innolux群創光電,hannstar display,national cheng kung university,none,"Dates Employed
Aug 2015 – Present","Dates Employed
Oct 2012 – Jul 2015","Dates Employed
Apr 2012 – Oct 2012","Dates Employed
Jul 2008 – Oct 2010",,"algorithm,developer","principal,engineer","senior,engineer","research,assistant",none,national cheng kung university,lodge school,none,"applied,materials,machine,learning,algorithm,developer"
thinktron ltd.,財團法人資訊工業策進會,self-employed,national chengchi university,grant thornton llp,"Dates Employed
Aug 2018 – Present","Dates Employed
Oct 2018 – Present","Dates Employed
Jun 2017 – Jul 2018","Dates Employed
Sep 2016 – Jan 2017","Dates Employed
Mar 2016 – Jul 2016","i,am,an,engineer","lecturermachine,learning","python,developer,teacher","international,tax,research,assistant","tax,assistanttp",national chengchi university,national taipei university,none,"thinktron,ai,engineer"
"institute of information science, academia sinica",hitake technology corporation,microsoft,none,none,"Dates Employed
Jul 2019 – Aug 2019","Dates Employed
Jul 2017 – Aug 2017","Dates Employed
Jul 2016 – Jun 2017",,,"summer,intern","summer,intern","11th,microsoft,student,partners,technology,team",none,none,ucl,national taipei university of technology,national taipei university of technology,"postgraduate,teaching,assistant,machine,learning,at,national,taipei,university,of,technology"
cinnamon ai,self-employed,cybertan,none,none,"Dates Employed
Apr 2019 – Present","Dates Employed
Oct 2018 – Present","Dates Employed
Oct 2015 – Oct 2018",,,"ai,researcher","machine,learningdeep,learning,researcher","hardware,design,engineer",none,none,ai academy taiwan,national chiao tung university,national chiao tung university,"ai,researcher,at,cinnamon,ai"
itutorgroup,李鋒文教,none,none,none,"Dates Employed
Aug 2016 – Apr 2017","Dates Employed
Nov 2015 – Apr 2017",,,,"business,intelligence,analyst","digital,marketing,consultant",none,none,none,national chiao tung university,hsnu,none,"verizon,media,product,manager,of,machine,learning,solution,and,ai"
"aeolus robotics, inc.",mstar semiconductor,nation,trident microsystems,none,"Dates Employed
Nov 2018 – Present","Dates Employed
May 2005 – Sep 2018","Dates Employed
May 2003 – May 2005","Dates Employed
May 1999 – Apr 2003",,"machine,learning,developer","technical,assistant,manager","senior,software,engineer",engineer,none,datong university,none,none,"aeolus,robotics,inc,machine,learning,developer"
"via technologies, inc.",deeplearning.ai,novatek microelectronics,auo,ford lio ho motor,"Dates Employed
Aug 2019 – Present","Dates Employed
Jul 2018 – Jun 2019","Dates Employed
Apr 2014 – May 2018","Dates Employed
Oct 2011 – Apr 2014","Dates Employed
Jul 2001 – Sep 2001","machine,learning,software,engineer","machine,learning,engineer","principal,system,application,engineer","senior,field,application,engineer","summer,intern",national taiwan university,the university of tokyo,national cheng kung university,"machine,learning,software,engineer,at,via,technologies,inc"
wistron,mediatek,none,none,none,"Dates Employed
Aug 2019 – Present","Dates Employed
Jul 2015 – Nov 2015",,,,"data,scientist",intern,none,none,none,national cheng kung university,國立成功大學,none,"machine,learning,engineer"
al sidiqqi holdings,"ltw technology (subic) international, inc.",none,none,none,"Dates Employed
Mar 2009 – Jul 2012","Dates Employed
2005 – 2008",,,,"cad,engineer","rd,engineer",none,none,none,xavier university - ateneo de cagayan (ph),none,none,"mechatronic,python,machine,learning"
104 corporation,qualcomm,none,none,none,"Dates Employed
Mar 2016 – Present","Dates Employed
Jul 2014 – Sep 2015",,,,"data,engineer","software,engineer,internship",none,none,none,national central university,national cheng kung university,none,"looking,for,data,engineering,machine,learning,freelance,jobs"
self-employed,taiwan ai academy,none,none,none,"Dates Employed
May 2018 – Present","Dates Employed
Jan 2018 – Apr 2018",,,,"software,engineer",student,none,none,none,national cheng kung university,national cheng kung university,none,"i,am,a,software,engineer,and,interested,in,developing,real,world,machine,learning,applications"
trend micro,amazon,vpon inc,national yang ming university,none,"Dates Employed
May 2017 – Present","Dates Employed
Mar 2016 – Apr 2017","Dates Employed
Aug 2014 – Jan 2016","Dates Employed
Aug 2011 – Jul 2014",,"staff,engineer","machine,learning,scientist,ii","chief,data,scientist","assistant,professor",none,national taiwan university,national taiwan university,national taiwan university,"data,scientist,at,trend,micro"
wind artisan coffee,taiwan mobile,ericsson taiwan,asiaworld communication ltd.,top.com.tw ltd.,"Dates Employed
Feb 2012 – Present","Dates Employed
Mar 2006 – Feb 2012","Dates Employed
Jul 1999 – Apr 2005","Dates Employed
1998 – 1999","Dates Employed
1997 – 1998",cofounder,"principal,administrator","assistant,manager","network,engineer","assistant,manager",national tsing hua university,taipei medical university,taipei medical university,"phd,student,in,the,field,of,machine,learning,deep,learning,natural,language,process"
cyberlink,viscovery,national taiwan university,"academia sinica, taiwan",none,"Dates Employed
Oct 2019 – Present","Dates Employed
Sep 2018 – Oct 2019","Dates Employed
Aug 2015 – Dec 2015","Dates Employed
Aug 2014 – Aug 2015",,"machine,learning,engineer","computer,vision,engineer","research,assistant","research,assistant",none,national taiwan university,國立成功大學,none,"senior,engineer,at,cyberlink"
logitech,tsmc,none,none,none,"Dates Employed
Jan 2007 – Present","Dates Employed
Apr 1996 – Feb 2006",,,,"data,architect,analytics,machine,learning","manager,ecommerce,infrastructure,department",none,none,none,tamkang university,tunghai university,none,"data,architect,analytics,machine,learning,at,logitech"
foxconn,stats chippac ltd.,xintec inc.,none,none,"Dates Employed
Aug 2015 – Present","Dates Employed
Aug 2013 – Present","Dates Employed
Jul 2012 – Aug 2013",,,"project,engineer","process,control,engineer","reliability,engineer",none,none,coursera,national sun yat-sen university,chung yuan christian university,"ai,engineering,data,analyst,svm,and,dnn,dmaic,6,sigma,machine,learning,engineer"
logitech,aem taiwan,darmstadt university of technology,tsinghua university,the university of tokyo,"Dates Employed
Jun 2018 – Present","Dates Employed
Oct 2017 – May 2018","Dates Employed
Jan 2012 – Mar 2017","Dates Employed
Aug 2015 – Oct 2015","Dates Employed
Oct 2010 – Mar 2011","data,scientist,senior","ai,engineer,artificial,intelligence","research,associate","visiting,research,associate","student,guest,researcher",darmstadt university of technology,technische universität darmstadt,darmstadt university of technology,"senior,data,scientist,ai,cloud,computing,iot,big,data,statistical,data,analysis,machine,learning,image,video,processing"
"dept. of physics, national taiwan normal university",none,none,none,none,"Dates Employed
Dec 2019 – Present",,,,,"postdoctoral,researcher",none,none,none,none,national taiwan normal university,national taiwan normal university,national chung hsing university,"postdoctoral,researcher,numerical,simulation,data,analysis,machine,learning"
taiwan semiconductor manufacturing company,none,none,none,none,"Dates Employed
Oct 2010 – Sep 2018",,,,,"principal,engineer",none,none,none,none,national taiwan university,national taiwan university,national chiao tung university,"engineer,and,data,scientist,good,at,mathematics,physics,programming,and,machine,learning"
national taiwan university,none,none,none,none,"Dates Employed
Aug 2015 – Aug 2017",,,,,"research,assistant",none,none,none,none,national taiwan university,national chengchi university,none,"sr,deep,learning,research,engineer,at,htc"
kneron,"industrial technology research institute (itri)(工業技術研究院, 工研院)","management information systems, central taiwan university of science and technology","department of information management, national taichung institute of technology",none,"Dates Employed
Nov 2019 – Present","Dates Employed
May 2016 – Present","Dates Employed
Aug 2009 – Jan 2010","Dates Employed
Feb 2007 – Jan 2010",,"deep,learning,algorithm,researcher","technical,team,lead",lecturer,lecturer,none,national chung hsing university,national taichung university of science and technology,none,"deep,learning,algorithm,researcher,at,kneron"
"ctbc bank co., ltd.",yuanta financial holdings,"fubon financial holding co., ltd.",bump paribas,none,"Dates Employed
Mar 2018 – Jun 2018","Dates Employed
Apr 2014 – Mar 2018","Dates Employed
May 2013 – May 2014","Dates Employed
Apr 2011 – Nov 2011",,"quant,machine,learning,engineer","credit,trader","fx,trader","rates,trading,quant",none,brandeis university,none,none,"ai,research"
formosa textile company (pty) ltd - nien hsing textile group,taroko,calvin klein,dmg mori,marriott international,"Dates Employed
May 2019 – Present","Dates Employed
Mar 2018 – May 2019","Dates Employed
Apr 2017 – Nov 2017","Dates Employed
Sep 2013 – Dec 2016","Dates Employed
Jan 2013 – May 2013","hr,supervisor","senior,hr,specialist","hr,officer","hr,specialist","hr,intern",brigham young university - hawaii,none,none,"hr,supervisor,machine,learning"
appier,plaxie,"wyss institute for biologically inspired engineering, harvard medical school",harvard university,intel research,"Dates Employed
Aug 2012 – Present","Dates Employed
Sep 2010 – Jul 2012","Dates Employed
Jul 2008 – Jul 2010","Dates Employed
2005 – Jun 2010","Dates Employed
Sep 2006 – Jun 2007",ceo,ceo,researcher,"phd,candidate",consultant,harvard university,stanrford university,stanford university,"ceo,at,appier"
falcota [company dissolution],"academia sinica, taiwan",none,none,none,"Dates Employed
Nov 2014 – Mar 2016","Dates Employed
Jul 2010 – Jan 2014",,,,"machine,learning,engineer","data,scientist",none,none,none,national taiwan university,national taiwan university,national taiwan university,"data,scientist"
nuwa robotics,dell,none,none,none,"Dates Employed
Mar 2020 – Present","Dates Employed
Jul 2017 – Aug 2017",,,,"nlp,engineer","software,engineer,intern",none,none,none,national central university,national central university,none,"nlp,engineer,nuwa,robotics"
realtek semiconductor corp.,"industrial technology research institute (itri)(工業技術研究院, 工研院)",benq materials corp (benq materials),taiwan institute of economic research,"association of service industries, taiwan","Dates Employed
Aug 2018 – Present","Dates Employed
Apr 2018 – Jun 2018","Dates Employed
Jul 2017 – Aug 2017","Dates Employed
Oct 2016 – Feb 2017","Dates Employed
Dec 2015 – Sep 2016","data,analyst,rd,engineer","machine,vision,technology,department,intern","manufacture,intelligence,team,intern",assistant,assistant,national taiwan university,national cheng kung university,none,"data,analytics,r,d,engineer,at,realtek,semiconductor,corp"
inventec,national taiwan university of science and technology,industrial technology research institute (itri) (industrial technology research institute (itri)),none,none,"Dates Employed
Feb 2019 – Present","Dates Employed
Feb 2017 – Jan 2019","Dates Employed
Jul 2018 – Aug 2018",,,"ai,research,engineer","graduate,student","deep,learning,engineer,intern",none,none,national taiwan university of science and technology,universitas kristen petra,none,"ai,research,engineer,at,inventec"
sigknow,swinburne university of technology,taiwan,tsmc,none,"Dates Employed
Jul 2017 – Present","Dates Employed
Oct 2016 – Apr 2017","Dates Employed
Jun 2007 – Jun 2008","Dates Employed
2005 – 2006",,"machine,learning,engineer","postdoctoral,fellow","national,synchrotron,radiation,research,center","process,integration,engineer",none,virginia polytechnic institute and state university,national taiwan university,national changhua university of education,"machine,learning,engineer"
verizon media,envive inc.,tomofun-frbo,trend micro,none,"Dates Employed
Aug 2019 – Present","Dates Employed
Oct 2018 – May 2019","Dates Employed
Feb 2018 – Oct 2018","Dates Employed
Jul 2017 – Feb 2018",,"senior,software,engineer","software,engineer","i,am,an,engineer","machine,learning,engineer",none,national taiwan university,national taiwan university,national chiao tung university,"verizon,media,senior,software,engineer"
"cathay financial holdings co., ltd.",axa,new taipei district prosecutors'​ office,fareastone telecom,cmoney,"Dates Employed
Mar 2019 – Feb 2020","Dates Employed
May 2018 – Oct 2018","Dates Employed
Mar 2016 – Apr 2017","Dates Employed
Jun 2015 – Aug 2015","Dates Employed
Jul 2014 – Oct 2014","data,scientist","data,innovation,team,data,analyst,intern","substitute,military,serviceman","business,managementsupport,intern","trading,strategy,model,manager,intern",national university of singapore,shanghai jiao tong university,national taiwan university,"data,scientist,at,cathay,financial,holdings,deep,learning,specialization"
"centrillion biosciences, inc.",none,none,none,none,"Dates Employed
Oct 2017 – Oct 2018",,,,,"rd,engineer",none,none,none,none,national chiao tung university,none,none,"centrillion,biosciences,inc,r,d,engineer"
cadence design systems,mediatek,imec,台積電,national taiwan university,"Dates Employed
Feb 2020 – Present","Dates Employed
Aug 2019 – Nov 2019","Dates Employed
Sep 2018 – Feb 2019","Dates Employed
Jul 2018 – Aug 2018","Dates Employed
Mar 2018 – Jul 2018","software,validation,engineer","machine,learning,algorithm,engineer,full,time,internship","intern,researcher","software,engineer,intern,full,time","teaching,assistant,of,cousera,part,time",national taiwan university,比利時荷語天主教魯汶大學,national taiwan normal university,"msc,in,eecs,researcher,of,ml,application"
microsoft,木刻思,ambarella inc,"honda research institute usa, inc.","honda research institute usa, inc.","Dates Employed
Sep 2018 – Present","Dates Employed
Apr 2017 – Present","Dates Employed
Mar 2018 – Aug 2018","Dates Employed
Oct 2016 – Feb 2018","Dates Employed
May 2016 – Aug 2016","software,engineer,ii","curator,and,editor","algorithm,engineer","research,engineer","research,intern",university of southern california,national taiwan university,none,"computer,vision,research,engineer,at,microsoft,ai,research,and,development,center,taiwan"
paypal,"synergies intelligent systems, inc.",gangshan veteran house,"synergies intelligent systems, inc.",din tai fung restaurant group,"Dates Employed
Jul 2019 – Present","Dates Employed
Jul 2018 – Jul 2019","Dates Employed
Jul 2017 – Jun 2018","Dates Employed
Dec 2016 – Jun 2017","Dates Employed
Jul 2016 – Nov 2016","data,analyst","data,scientist","substitute,military,service","data,analyst,intern","data,analyst,intern",national taiwan university,national chengchi university,corvinus university of budapest,"data,analyst,at,paypal"
ten-e electronics,鴻海精密工業股份有限公司,asus,none,none,"Dates Employed
Jan 2019 – Present","Dates Employed
Mar 2018 – Jan 2019","Dates Employed
May 2015 – Feb 2018",,,"i,am,an,engineer","senior,engineer","emc,senior,engineer",none,none,ntut,nsysu,none,"i,am,an,engineer"
ckmates,women who code,"anhui ningguo sinya seiko co.,ltd.",none,none,"Dates Employed
2019 – 2020","Dates Employed
Oct 2018 – 2019","Dates Employed
May 2018",,,"solutions,architect","community,alumni",sales,none,none,national chung hsing university,national chung hsing university,soochow university,"currently,deal,with,machine,learning,ekk,finish,lamp,on,ec2,wordpress,emr,hive,clickstream,on,aws,aws,boto3"
mcoretek,聯詠科技股份有限公司,quanta computer,none,none,"Dates Employed
Jan 2018 – Present","Dates Employed
Aug 2015 – Jan 2018","Dates Employed
Dec 2013 – Aug 2015",,,"senior,engineer,algorithm,design","advanced,software,engineer,algorithm,design","software,engineer,algorithm,design",none,none,national taiwan university,coursera,national chiao tung university,"mcoretek,senior,engineer,algorithm,design"
viscovery,jabil,none,none,none,"Dates Employed
Nov 2018 – Present","Dates Employed
Aug 2015 – Jul 2016",,,,"algorithm,research,engineer","research,and,development,intern",none,none,none,national central university,national changhua university of education,none,"algorithm,research,engineer"
appier,university of washington,university of michigan,microsoft research at cambridge,none,"Dates Employed
Jul 2018 – Present","Dates Employed
Jan 2013 – Jul 2014","Dates Employed
Sep 2009 – Dec 2012","Dates Employed
Jun 2011 – Aug 2011",,"chief,ai,scientist","postdoctoral,researcher",phd,"research,intern",none,university of michigan,princeton university,stanford univ,"chief,ai,scientist,at,appier"
aics,中央研究院,intel,delta electronics,none,"Dates Employed
Sep 2019 – Present","Dates Employed
Sep 2017 – Jul 2019","Dates Employed
Mar 2018 – Mar 2019","Dates Employed
Jul 2017 – Dec 2017",,"software,engineer","student,research,assistant,at,iasl,lab","software,engineering,intern","software,engineering,intern",none,national tsinghua university,國立政治大學,none,"nlp,engineer"
none,none,none,none,none,,,,,,none,none,none,none,none,none,none,none,"i,am,an,engineer"
your,chunghwa telecom,ibm,tsmc,none,"Dates Employed
Apr 2017 – Mar 2018","Dates Employed
Jul 2016 – Apr 2017","Dates Employed
Jul 2013 – Jul 2016","Dates Employed
Oct 2009 – Jul 2013",,"senior,advanced,analytics,consultant","big,data,business,designer","senior,data,analysis,consultant",srengineer,none,chang gung university,national kaohsiung first university of science and technology,none,"ai,r,d,vice,president"
cloudmile,barco,blisscloud,hidev mobile,san jose state university,"Dates Employed
Apr 2017 – Present","Dates Employed
Oct 2013 – Apr 2017","Dates Employed
Aug 2013 – Oct 2013","Dates Employed
Oct 2012 – May 2013","Dates Employed
Sep 2010 – Aug 2012",cto,"software,engineer","ios,application,engineer","ios,android,application,engineer","undergraduate,student",fu jen catholic university,san jose state university,california polytechnic state university-san luis obispo,"we,are,hiring"
lane language development,建騰創達科技股份有限公司,none,none,none,"Dates Employed
Jul 2018 – Aug 2019","Dates Employed
Aug 2016 – Mar 2018",,,,"data,analyst","algorithm,engineer",none,none,none,national taiwan normal university,國立成功大學,none,"algorithm,engineer,jianteng,chuangda,technology,co,ltd"
business next media corp. jusi media group,中央研究院,none,none,none,"Dates Employed
Jan 2014 – Present","Dates Employed
Aug 2008 – Dec 2013",,,,"chief,innovation,officer","research,scientist",none,none,none,national taiwan university,淡江大學,national cheng kung university,"chief,innovation,officer"
tutorabc,freelance freelance,the republic of china army,agronomy society of taiwan,none,"Dates Employed
May 2020 – Present","Dates Employed
Aug 2017 – Present","Dates Employed
Nov 2019 – Mar 2020","Dates Employed
May 2018 – Aug 2019",,"ai,algorithm,engineer","statistical,consultant","military,service","assistant,secretary",none,national taiwan university,國立清華大學,none,"ai,algorithm,engineer,at,tutorabc"
acer,acer,none,none,none,,"Dates Employed
Sep 2014 – Present",,,,"software,engineer","software,engineer",none,none,none,national sun yat-sen university,none,none,"i,am,a,senior,software,engineer,developing,deep,learning,machine,learning,project,in,acer,taiwan"
appier,women in data science taipei,asus intelligent cloud services - aics,women in data science taipei,gallopwave,"Dates Employed
Aug 2019 – Present","Dates Employed
Mar 2020","Dates Employed
Apr 2019 – Jul 2019","Dates Employed
Mar 2019","Dates Employed
Oct 2018 – Mar 2019","associate,director,of,product,management",speaker,"product,manager",speaker,"technical,project,manager",national tsing hua university,national tsing hua university,none,"product,manager"
coretronic corporation,"infomax communication co., ltd.",national formosa university,"pet lab, nctu",none,"Dates Employed
Jan 2020 – Present","Dates Employed
Apr 2015 – May 2016","Dates Employed
Aug 2012 – Feb 2013","Dates Employed
Jun 2009 – May 2012",,"senior,engineer",engineer,"adjunct,assistant,professor","research,assistant",none,national chiao tung university,national chiao tung university,national chiao tung university,"phd,in,information,theory,and,statistical,signal,processing,hands,on,proficiency,in,machine,deep,learning"
appier,national tsing hua university,none,none,none,"Dates Employed
Sep 2019 – Jul 2020","Dates Employed
Jun 2016 – Apr 2018",,,,"machine,learning,scientist,intern","full,stack,developer,intern",none,none,none,national taiwan university,national tsing hua university,none,"master,student,at,national,taiwan,university"
